desc;trafo;inst
REPETIDORA AFONSO CLÁUDIO - MORRO DA GRAMA;ESTF403049;160497710
REPETIDORA AFONSO CLÁUDIO - MORRO DO LIXO;ESTF450349;610164
REPETIDORA MATA FRIA;ESTF411827;813289
REPETIDORA TRÊS PONTÕES;ESTF355029;160205462
AGÊNCIA AFONSO CLÁUDIO;ESTF019256;556625
REPETIDORA ÁGUA DOCE DO NORTE ;ESTF414744;1183342
AGÊNCIA ÁGUA DOCE DO NORTE ;ESTF010135;160190591
REPETIDORA ALEGRE;ESTF381775;160206643
AGÊNCIA ALEGRE;ESTF008957;616317
REPETIDORA ALFREDO CHAVES;ESTF410966;160638467
AGÊNCIA ALFREDO CHAVES;ESTF037112;332907
REPETIDORA ANCHIETA;ET290475;
AGÊNCIA ANCHIETA;ESTF038989;1628863
REPETIDORA APIACÁ;ESTF467580;1566671
AGÊNCIA APIACÁ;ESTF381686;160190165
AGÊNCIA ARACRUZ;ESTF011106;1400639
REPETIDORA ATÍLIO VIVÁCQUA;ESTF432097;145757
AGÊNCIA ATÍLIO VIVÁCQUA;ESTF374351;1377178
REPETIDORA BARRA DE SÃO FRANCISCO;ESTF385706;606513
REPETIDORA BAIXO GUANDU;ESTF465217;152733
REPETIDORA MASCARENHAS;ESTF033477;1927403
AGÊNCIA BAIXO GUANDU;ESTF037098;1331203
AGÊNCIA BAIXO GUANDU;ESTF037098;1536841
AGÊNCIA BARRA DE SÃO FRANCISCO;ESTF360845;1183341
AGÊNCIA BOA ESPERANÇA;ESTF061351;1657287
REPETIDORA BOM JESUS DO NORTE;ESTF373352;149279
AGÊNCIA BOM JESUS DO NORTE;ESTF012413;607789
REPETIDORA BREJETUBA;ESTF439763;994726
REPETIDORA BREJETUBA - PRAÇA;ESTF034899;160040469
AGÊNCIA BREJETUBA;ESTF238109;160404218
REPETIDORA ABEL SANTANA;ESTF472826;669774
AGÊNCIA CACHOEIRO DE ITAPEMIRIM;ESTF038056;1167188
AGÊNCIA CARIACICA;EP246955;160107308
REPETIDORA CASTELO;ESTF461325;1627283
AGÊNCIA CASTELO;ESTF043542;452743
REPETIDORA PEDRA DO HOLANDÊS;ESTF010165;1121390
REPETIDORA CONCEIÇÃO DO CASTELO;ESTF461210;160640951
REPETIDORA PICO DO URUBU;ESTF391968;160151651
AGÊNCIA CONCEIÇÃO DA BARRA;ESTF035725;1303086
AGÊNCIA CONCEIÇÃO DO CASTELO;ESTF012342;160653205
REPETIDORA DIVINO DE SÃO LOURENÇO;ESTF468978;1526531
AGÊNCIA DIVINO DE SÃO LOURENÇO;ESTF448142;1225984
REPETIDORA AARGAU - MASTER;ID: 4105689;1752845
REPETIDORA ARACÊ;ESTF446755;160672698
REPETIDORA DOMINGOS MARTINS;ESTF464315;1073731
REPETIDORA DOMINGOS MARTINS - MORRO DO SINO;ESTF464315;1073731
AGÊNCIA DOMINGOS MARTINS;ESTF432000;1618728
REPETIDORA CAPARAÓ;ESTF429863;153040
REPETIDORA DORES DO RIO PRETO;ESTF014940;1323215
AGÊNCIA DORES DO RIO PRETO;ESTF028112;160190727
REPETIDORA MORRO DO FUJIAMA;ESTF361917;160457496
REPETIDORA SANTA TEREZINHA;ESTF378107;
AGÊNCIA ECOPORANGA;ESTF009976;1656543
REPETIDORA FUNDÃO;ESTF032152;1036228
REPETIDORA GOIAPABA-AÇU;ESTF393280;714612
AGÊNCIA FUNDÃO;ESTF034164;405166
REPETIDORA GUAÇUÍ;ESTF461317;160421869
REPETIDORA SANTA CATARINA;ESTF009131;620399
AGÊNCIA GUAÇUÍ;ESTF037797;1675861
REPETIDORA MORRO DO CÉU;ESTF038708;614019
AGÊNCIA GUARAPARI;ESTF036394;985591
REPETIDORA IBATIBA;ESTF461309;1499056
AGÊNCIA IBATIBA;ESTF384182;160295143
REPETIDORA IBIRAÇU;ESTF049001;160229122
REPETIDORA IBIRAÇU - EM FRENTE À CLÍNICA;ET234711;1646338
AGÊNCIA IBIRAÇU;ESTF043053;160316498
REPETIDORA IBITIRAMA;ESTF383162;160244338
AGÊNCIA IBITIRAMA;ESTF029998;160091805
REPETIDORA ICONHA;ESTF464354;1205216
AGÊNCIA ICONHA;ESTF012000;527738
REPETIDORA IRUPI;ESTF445095;1101848
AGÊNCIA IRUPI;ESTF474984;160667431
REPETIDORA ITAGUAÇU;ESTF474433;1171020
AGÊNCIA ITAGUAÇU;ESTF032513;1406279
REPETIDORA ITAPEMIRIM;ESTF059159;1562577
AGÊNCIA ITAPEMIRIM;ESTF275168;160434855
REPETIDORA MATUTINA;ESTF465322;152683
REPETIDORA PEDRA ALEGRE;ESTF379929;607408
AGÊNCIA ITARANA;ESTF049115;160697399
AGÊNCIA ITARANA;ESTF049115;160443880
AGÊNCIA ITARANA;ESTF049115;160443886
REPETIDORA SERRINHA;ESTF471738;998464
AGÊNCIA IÚNA;ESTF044366;1845540
AGÊNCIA JAGUARÉ;ESTF042994;160368701
REPETIDORA JERÔNIMO MONTEIRO;ESTF032663;613114
AGÊNCIA JERÔNIMO MONTEIRO;ESTF400459;1055593
REPETIDORA CAVALINHOS;ESTF014584;638566
AGÊNCIA JOÃO NEIVA;ESTF382770;684477
REPETIDORA LARANJA DA TERRA;ESTF468141;1154955
AGÊNCIA LARANJA DA TERRA;ESTF051195;174790
AGÊNCIA LINHARES;ESTF029783;160247791
REPETIDORA MANTENÓPOLIS;ESTF414020;778727
AGÊNCIA MANTENÓPOLIS;ESTF049107;1767480
AGÊNCIA MARATAÍZES;ESTF046125;160108209
REPETIDORA ALTO MARECHAL;ESTF386856;160582269
REPETIDORA MARECHAL FLORIANO;ESTF397454;744562
REPETIDORA MARECHAL FLORIANO - MORRO DA TV;ESTF386856;160582269
REPETIDORA SANTA ISABEL - AO LADO DO CEMITÉRIO;ESTF014214;160582274
REPETIDORA SANTA ISABEL - MORRO DA VIVO;ESTF012235;1455449
REPETIDORA VITOR HUGO;ESTF464370;1765780
AGÊNCIA MARECHAL FLORIANO;ESTF013963;650824
REPETIDORA MIMOSO DO SUL;ESTF365738;1710697
AGÊNCIA MIMOSO DO SUL;ESTF416156;982071
AGÊNCIA MONTANHA;EP298224;160563663
REPETIDORA MUCURICI;ESTF412430;160317808
AGÊNCIA MUCURICI;ESTF393382;160581057
AGÊNCIA MUNIZ FREIRE;ESTF398482;1657401
REPETIDORA MUQUI;ESTF460082;1024395
AGÊNCIA MUQUI;ESTF045897;1657532
REPETIDORA SANTA RITA;ESTF404344;634083
REPETIDORA SILO;ESTF062669;1585674
AGÊNCIA NOVA VENÉCIA;ESTF036647;1036186
AGÊNCIA PEDRO CANÁRIO;ESTF370054;574388
AGÊNCIA PINHEIROS;ESTF394936;972091
AGÊNCIA PIÚMA;ESTF037218;426130
AGÊNCIA PONTO BELO;ESTF008185;612090
REPETIDORA PRESIDENTE KENNEDY;ESTF411442;1265655
AGÊNCIA PRESIDENTE KENNEDY;ESTF039004;433270
REPETIDORA RIO BANANAL;ESTF462846;1166672
AGÊNCIA RIO BANANAL;ESTF411994;160408812
AGÊNCIA RIO BANANAL;ESTF411994;607517
AGÊNCIA RIO BANANAL;ESTF411994;607612
REPETIDORA RIO NOVO DO SUL;ESTF011569;676970
AGÊNCIA RIO NOVO DO SUL;ESTF034008;1795778
REPETIDORA FM SUPER;ESTF470517;1788429
REPETIDORA SANTA LEOPOLDINA - ENERGEST;ESTF379694;160680618
REPETIDORA SANTA LEOPOLDINA - MORRO DO EUCALIPTO;ESTF471940;160112130
REPETIDORA SANTA LEOPOLDINA - MORRO DO HOSPITAL;ESTF387677;160545446
REPETIDORA SUÍÇA;ESTF469541;160700326
TORRE DE EQUILIBRIO;ESTF464194;745372
AGÊNCIA SANTA LEOPOLDINA;ESTF040769;1426288
REPETIDORA SANTA MARIA DE JETIBÁ;ESTF443292;151855
REPETIDORA SANTA MARIA DE JETIBÁ - MASTER;ESTF410302;1170359
AGÊNCIA SANTA MARIA DE JETIBÁ;ESTF467637;160089423
REPETIDORA RADAR;ESTF464070;1039725
REPETIDORA SANTA TERESA;ESTF065052;647498
AGÊNCIA SANTA TERESA;ESTF401630;160703209
REPETIDORA SÃO JOSÉ DO CALÇADO;ESTF007897;299579
AGÊNCIA SÃO JOSÉ DO CALÇADO;ESTF026990;160190095
AGÊNCIA SÃO MATEUS;ESTF010088;1756262
AGÊNCIA SERRA;ESTF025308;160392380
REPETIDORA SOORETAMA;ESTF004877;1091962
AGÊNCIA SOORETAMA;ESTF004877;1091962
REPETIDORA SÃO CARLOS;ESTF392162;145544
REPETIDORA VARGEM ALTA - MASTER;ESTF474511;634138
REPETIDORA VARGEM ALTA - MORRO DO CEMITÉRIO;ESTF378301;1390611
AGÊNCIA VARGEM ALTA;ESTF036525;1012804
REPETIDORA MORRO DO FILLETI;ESTF387842;ECT25672
AGÊNCIA VENDA NOVA;ESTF006444;160267050
REPETIDORA VIANA;ESTF043172;1622080
AGÊNCIA VIANA;ESTF034613;325520
REPETIDORA VILA PAVÃO;ESTF467222;1520280
AGÊNCIA VILA PAVÃO;ESTF369092;160190344
REPETIDORA TERRA ROXA;ESTF393339;783789
REPETIDORA VILA VALÉRIO;SEM INFO NO EO;SEM INFO NO EO
