cod;desc;categ
AGC-AFONSO CLAUDIO;AG AFONSO CLÁUDIO;AGÊNCIA
AGC-AGUA DOCE DO NORTE;AG AGUA DOCE DO NORTE;AGÊNCIA
AGC-ALEGRE;AG ALEGRE;AGÊNCIA
AGC-ALFREDO CHAVES;AG ALFREDO CHAVES;AGÊNCIA
AGC-ANCHIETA;AG ANCHIETA;AGÊNCIA
AGC-APIACA;AG APIACÁ;AGÊNCIA
AGC-ARACRUZ;AG ARACRUZ;AGÊNCIA
AGC-ATILIO VIVACQUA;AG ATÍLIO VIVACQUA;AGÊNCIA
AGC-BAIXO GUANDU;AG BAIXO GUANDÚ;AGÊNCIA
AGC-BARRA DE SAO FRANCISCO;AG BARRA DE SÃO FRANCISCO;AGÊNCIA
AGC-BOA ESPERANCA;AG BOA ESPERANÇA;AGÊNCIA
AGC-BOM JESUS DO NORTE;AG BOM JESUS DO NORTE;AGÊNCIA
AGC-BREJETUBA;AG BREJETUBA;AGÊNCIA
AGC-CACHOEIRO;AG CACHOEIRO ITAPEMIRIM;AGÊNCIA
AGC-CARIACICA;AG CARIACICA;AGÊNCIA
AGC-CASTELO;AG CASTELO;AGÊNCIA
AGC-CONCEICAO DA BARRA;AG CONCEIÇÃO DA BARRA;AGÊNCIA
AGC-CONCEICAO DE CASTELO;AG CONCEIÇÃO DE CASTELO;AGÊNCIA
AGC-DIVINO DE SAO LOURENCO;AG DIVINO DE SÃO LOURENÇO;AGÊNCIA
AGC-DOMINGOS MARTINS;AG DOMINGOS MARTINS;AGÊNCIA
AGC-DORES DO RIO PRETO;AG DORES DO RIO PRETO;AGÊNCIA
AGC-ECOPORANGA;AG ECOPORANGA;AGÊNCIA
AGC-FUNDAO;AG FUNDÃO;AGÊNCIA
AGC-GUACUI;AG GUAÇUÍ;AGÊNCIA
AGC-GUARAPARI;AG GUARAPARI;AGÊNCIA
AGC-IBATIBA;AG IBATIBA;AGÊNCIA
AGC-IBIRACU;AG IBIRAÇÚ;AGÊNCIA
AGC-IBITIRAMA;AG IBITIRAMA;AGÊNCIA
AGC-ICONHA;AG ICONHA;AGÊNCIA
AGC-IRUPI;AG IRUPI;AGÊNCIA
AGC-ITAGUACU;AG ITAGUAÇU;AGÊNCIA
AGC-ITAPEMIRIM;AG ITAPEMIRIM;AGÊNCIA
AGC-ITARANA;AG ITARANA;AGÊNCIA
AGC-IUNA;AG IÚNA;AGÊNCIA
AGC-JAGUARE;AG JAGUARÉ;AGÊNCIA
AGC-JERONIMO MONTEIRO;AG JERÔNIMO MONTEIRO;AGÊNCIA
AGC-JOAO NEIVA;AG JOÃO NEIVA;AGÊNCIA
AGC-LARANJA DA TERRA;AG LARANJA DA TERRA;AGÊNCIA
AGC-LINHARES;AG LINHARES;AGÊNCIA
AGC-MANTENOPOLIS;AG MANTENÓPOLIS;AGÊNCIA
AGC-MARATAIZES;AG MARATAÍZES;AGÊNCIA
AGC-MARECHAL FLORIANO;AG MARECHAL FLORIANO;AGÊNCIA
AGC-MIMOSO DO SUL;AG MIMOSO DO SUL;AGÊNCIA
AGC-MONTANHA;AG MONTANHA;AGÊNCIA
AGC-MUCURICI;AG MUCURICI;AGÊNCIA
AGC-MUNIZ FREIRE;AG MUNIZ FREIRE;AGÊNCIA
AGC-MUQUI;AG MUQUI;AGÊNCIA
AGC-NOVA VENECIA;AG NOVA VENÉCIA;AGÊNCIA
AGC-PEDRO CANARIO;AG PEDRO CANÁRIO;AGÊNCIA
AGC-PINHEIRO;AG PINHEIRO;AGÊNCIA
AGC-PIUMA;AG PIÚMA;AGÊNCIA
AGC-PONTO BELO;AG PONTO BELO;AGÊNCIA
AGC-PRESIDENTE KENNEDY;AG PRESIDENTE KENNEDY;AGÊNCIA
AGC-RIO BANANAL;AG RIO BANANAL;AGÊNCIA
AGC-RIO NOVO DO SUL;AG RIO NOVO DO SUL;AGÊNCIA
AGC-SANTA LEOPOLDINA;AG SANTA LEOPOLDINA;AGÊNCIA
AGC-SANTA MARIA DE JETIBA;AG SANTA MARIA DE JETIBÁ;AGÊNCIA
AGC-SANTA TERESA;AG SANTA TERESA;AGÊNCIA
AGC-SAO FRANCISCO;AG SÃO FRANCISCO;AGÊNCIA
AGC-SAO JOSE DO CALCADO;AG SÃO JOSÉ DO CALÇADO;AGÊNCIA
AGC-SAO MATEUS;AG SÃO MATEUS;AGÊNCIA
AGC-SERRA;AG SERRA;AGÊNCIA
AGC-SOORETAMA;AG SOORETAMA;AGÊNCIA
AGC-VARGEM ALTA;AG VARGEM ALTA;AGÊNCIA
AGC-VENDA NOVA DO IMIGRANTE;AG VENDA NOVA DO IMIGRANTE;AGÊNCIA
AGC-VIANA;AG VIANA;AGÊNCIA
AGC-VILA PAVAO;AG VILA PAVÃO;AGÊNCIA
AGC-VILA VALERIO;AG VILA VALÉRIO;AGÊNCIA
AGC-VILA VELHA;AG VILA VELHA;AGÊNCIA
AGC-VITORIA;AG VITÓRIA;AGÊNCIA
ESC-AFONSO CLAUDIO;ESC AFONSO CLAUDIO;ESCRITÓRIO
ESC-ALEGRE;ESC ALEGRE;ESCRITÓRIO
ESC-ARACRUZ;ESC ARACRUZ;ESCRITÓRIO
ESC-CACHOEIRO;ESC C. ITAPEMIRIM;ESCRITÓRIO
ESC-CARIACICA;ESC CARIACICA;ESCRITÓRIO
ESC-ITARANA;ESC ITARANA;ESCRITÓRIO
ESC-IUNA;ESC IÚNA;ESCRITÓRIO
ESC-LINHARES;ESC LINHARES;ESCRITÓRIO
ESC-MARATAIZES;ESC MARATAÍZES;ESCRITÓRIO
ESC-MUQUICABA;ESC MUQUIÇABA;ESCRITÓRIO
ESC-NOVA VENECIA;ESC NOVA VENÉCIA;ESCRITÓRIO
ESC-PIUMA;ESC PIÚMA;ESCRITÓRIO
